column_1,ctV dk lkj,column_3,column_4,column_5,is_structure,page
,2022-2023,2023-2024,2023-2024,2024-2025,False,1
,okLrfod,ctV,la'kksf/kr,ctV,False,1
,vk¡dM+s,vuqeku,vuqeku,vuqeku,False,1
1- jktLo ys[ks dh izkfIr;k¡,417241.50,570865.66,525217.84,606802.40,False,1
2- dj jktLo *,343832.45,445871.59,410866.44,488902.84,False,1
3- djsRrj jktLo @,73409.05,124994.07,114351.40,117899.56,False,1
4- iw¡th ys[ks dh izkfIr;k¡,68184.26,112427.08,102427.08,114531.42,False,1
5- _.kksa dh olwyh,1337.32,3312.18,3312.18,3298.63,False,1
"6- m/kkj vkSj vU; ns;rk,a",66846.94,109114.90,99114.90,111232.79,False,1
¼ftlesa Hkkjrh; fjtoZ cSad,0.00,10000.00,0.00,10000.00,False,1
ls vFkksZik; vfxze½,,,,,False,1
7- dqy izkfIr;k¡ ¼1$4½,485425.76,683292.74,627644.92,721333.82,False,1
8- jktLo ys[ks ij O;;,379978.06,502354.01,454771.32,532655.33,False,1
ftlesa,,,,,False,1
9- C;kt vnk;fx;k¡,43007.98,52755.56,49316.64,53711.99,False,1
10- iw¡th ys[ks ij O;;,125927.49,187888.42,177591.05,203782.38,False,1
ftlesa,,,,,False,1
11- iwathxr ifjO;;,93028.39,147617.29,146177.12,154747.47,False,1
12- _.k dh vnk;fx;k¡,22690.46,31181.43,21317.81,39806.17,False,1
¼ftlesa Hkkjrh; fjtoZ cSad,0.00,10000.00,0.00,10000.00,False,1
ls izkIr vFkksZik; vfxze,,,,,False,1
dk izfrnku lfgr½,,,,,False,1
13- dqy O;; ¼8$10½,505905.55,690242.43,632362.37,736437.71,False,1
14- jktLo cpr ¼1&8½,37263.44,68511.65,70446.52,74147.07,False,1
"15- jktdks""kh; ?kkVk",64636.27,84883.16,82514.54,86530.51,False,1
16- izkjfEHkd ?kkVk ¼15&9½,21628.29,32127.60,33197.90,32818.52,False,1
